clean_text,label,pos_count,neg_count,sentiment_score
sungguh benci ahok prestasi saing ahok pilkada jakarta terus muncul bagai senjata siap serang ahok isu sara ahok cina kurang sopan santun lontar puruk si ahok aneh bukan jatuh buat orang benci popularitas ahok sinar saing saing ahok terus dapat hujat terus terang masuk orang benci ahok benci prestasi jabat gubernur dki liat gimana ahok perkasa bongkar kasus dana siluman tutup sarang preman prostitusi kalijodo pecat pns gak becus kerja prestasi ahok jaya percaya warga prestasi rasa saing saing ahok lihat kerdil datang bagai kalang jadi buat benci ahok perkasa ahok tingkat percaya masyarakat tinggi pimpin ahok pilkada dki bakal tidak seru ahok menang mudah main cepat selesai ahok menang jadi cundang huhh benci benar benar cinta ahok,1,8,9,-1
ahok sandera kpk hasil survey baru puas publik kerja ahok capai timing laku survey tepat kait kalijodo tidak tidak tahu jelas fakta fakta laku pilgub dki ahok bakal menang titik lemah ahok letak kasus tanah sumber waras lawan politik ahok goreng habis habis kawan politik ahok jadi posisi tawar ahok balas budi ahok penuh minta kawan politik ahok ahok tidak jadi sangka ahok tolak minta kawan politik ahok ahok jadi sangka tidak makan siang gratis kawan politik ahok tidak penting ahok lewat jalur independen lewat jalur parpol penting ahok menang sisi citra peluang ahok besar menang lewat jalur independen parpol usung ahok tetap dukung ahok kartu ahok pegang bikin ahok tidak kutik kasus ahok kait sumber waras bukti ahok bukan manusia tengah dewa ahok tepat sebut manusia tengah dewa tengah setan ahok gusur kalijodo ahok sebut manusia tengah dewa ahok biar kali lokasi judi prostitusi miras ahok sebut manusia tengah setan ahok tindak dewa tindak setan gantung penting untung jadi setan jadi manusia tengah dewa ahok tahu fenomena ahok bukti pilih pimpin pilih hadap pilih bagus buruk percaya ahok masuk bagus buruk ahok bagus haji lulung selamat kerja ahok,1,12,9,3
ahok butuh dukung parpol rasa tidak etis menyianyiakan sungguh teman ahok dukung ahok maju pilgub dki lewat jalur independen kumpul dukung masyarakat dki putus ahok terima dukung teman ahok putus bijak setifaknya ahok tidak menyianyiakan mesin politik bukti dukung ahok jelas ahok butuh dukung parpol nasdem beri dukung prediksi parpol susul dukung ahok bukti ahok menang pilgub dki muncul tanya ahok minoritas dukung mayoritas ingat dekat perang media sosial tajam kasar vulgar uras emosi pikir agam taktik guna yakin masa pilih dukung tidak dukung ahok strategi kubu ahok jelas pecah kuat lawan ahok lewat figur arti kaum oposisi dorong usung calon calon oposisi besar peluang ahok menang masa ragu dorong dukung ahok lewat nonjolkan prestasi ahok sadar ahok tidak invisible hand kuat besar diam diam beri dukung ahok kelompok ingin jak rta baik ahok kerja nyata rubah jakarta jadi baik ahok bukan figur ideal ahok perlu dukung pihak tutup kurang ahok pihak lepas ego lihat penting besar jadi jakarta baik titik ahok parpol temu bekerjasama sinergi bangun jakarta ahok lewat jalu independen ahok tidak ninggalkan parpol,1,9,5,4
pasang tepat ahok pilkada dki pertama tama ucap selamat atas hasil teman ahok yg kerja keras hasil kumpul syarat minimal ktp ahok maju jalur independen jadi tanya damping ahok maju dipilkada dki pilkada dki jarak tahun pilpres tahun mnelihat hubung baik jalin jokowi ahok besar mungkin ahok damping jokowi pilpres ahok calon kuat besar mungkin menang pilkada dki ahok damping jokowi pilpres besar mungkin pasang jokowi ahok menang pilpres tsb calon wakil ahok tsb jabat gubernur dki ahok tinggal jokowi jadi presiden ingat hubung baik jokowi ahok besar antusiasme kader pdip sambut ahok dirakernas pdip kemarin pdip minat usung ahok pilkada dki tsb lupa teman ahok juang ahok maju jalur independen ahok tidak ikat partai usung jadi turut calon wakil ahok baik partai pdip maju jalur independen cara ahok dapat dukung pdip pdip tidak usung calon resmi karna kader maju independen ahok pdip rugi tidak dukung ahok karna kerja ahok rasa manfaat warga jakarta dukung ahok menang pilkada dki kader pdip cukup kuat saing ahok pilkada tsb bu risma walikota surabaya pdip siap bu risma saing ahok baik pdip siap bu risma maju pilkada jatim pilih salah kader jadi wakil ahok mungkin besar damping jokowi maju pilpres otomatis wakil ahok tsb jadi gubernur dki yakin teman ahok tidak berat ahok dapat dukung pdip pilih calon wakil kader pdip ahok maju jalur independen pdip seleksi kader pantas maju damping ahok pdip aju calon oneng simbolon orang cagub gagal tidak pantas damping ahok doa moga pak ahok dapat wakil baik menang pilkada dki,1,15,2,13
muslim dukung ahok salah judul atas baca apa salah muslim larang dukung ahok dosa masuk neraka muslim tidak faham agama ikut ikut takut ancam neraka dukung ahok pilkada dki tahun genderang perang urat saraf opini mulai lancar heran prilaku hater ahok phobia ahok jadi gubernur dki serang tubi tubi lancar bukan pribadi ahok dukung ahok teman ahok serang halus bentuk tulis opini mapun kasar bentuk caci maki kolom komentar media sosial silih ganti ikut ramai perang urat syaraf ayal ahok moncer lawan ahok tetap elektabilitasnya memble lawan ahok punya prestasi jelas bukan gali potensi prestasi serang ahok untung ahok dapat kampanye gratis debat perang opini tidak sadar lawan politik ahok terus gencar serang ahok serang bumerang tingkat eletabilitas ahok turun elektabilitas lawan ahok judul heboh kata jadi hoax serang ahok teman ahok jadi salah cara laku laku politik praktis serang masif kutat suku ras agama masyarakat bukan jaman orba gampang cekok tidak benar hoax masyarakat hidup era medsos pandai rata rata milik didik minimal smp bukan jaman banyak tamat sd tidak sekolah era buka masyarakat tahu pimpin kerja suka kaya kroni jadi menang lawan ahok tunjuk prestasi koar koar cari keburu ahok kata pepatah tepuk air dulang percik muka salam kompasiana,1,10,9,1
ahok jadi usung pdip kata dunia kata ahok berani kata ahok teman ahok siap buat fenomena baru politik tanah air juang tanpa parpol kata parpol parpol tidak percaya kata kata ahok mencla mencle nyata maju pilgub dki lewat jalur independen ridwan kamil datang ganjar pranowo datang langsung ahok jadi galau bicara ahok emil ganjar ahok nyata maju pilgub dki dukung pdip benar benar kejut teman ahok marah langsung buat meme sindir pdip pdip kata teman ahok hipnotis ahok ubah pikir hehe ahok balik nyata maju lewat jalur independen syarat ktp kumpul capai ktp d sikap ahok mencla mencle nilai amat politik charta politika yunarto wijaya manuver kosmetik politik awal ahok tidak berani maju lewat jalur independen ahok kalah pilgub babel trauma ahok bentuk lsm nama teman ahok lsm usaha kumpul ktp ktp simpatisan ahok akhir sebut capai ktp jumlah buat ahok pede nyata datang emil ganjar buka kedok ahok ahok gentar lawan kang emil ganjar pranowo ahok langsung dekat pdip yunarto wijaya ahok guna teman ahok sarana bargaining politik ktp ahok tawar tawar parpol usung jadi awal ahok tidak niat maju lewat jalur independen kosmetik politik belaka informasi kabar burung malam kabar ahok hadap ibu megawati minta dukung pdip pilgub dki datang malam sekjen pdip hasto kristanto keluar nyata pdip dukung cagub tarung pilkada lewat jalur parpol pdip punya mekanisme sendiri seleksi kader aju usung jadi calon kepala daerah pdip buka kerja rakyat rawan sedia juang sinyal pdip pdip punya rencana dukung ahok lewat jalur parpol gandeng rawan hal laku pilpres simpul jadi ahok maju pilgub dki lewat jalur parpol mungkin besar ahok tidak berani ambil resiko kalah maju lewat jalur independen jadi bukti kata yunarto wijaya benar ahok laku citra ahok laku kosmetik politik ahok manfaat teman ahok daya tawar partai usung kata dunia sekian sumber,0,6,6,0
fenomena ahok ahok ahok basuki tjahaja purnama ahok gubernur dki masa bakti fenomenal sih tulis ahok baik prestasi jelek tulis angkat ringkas obrol e warung kopi notabene bas e berita e duga kata budayawan arswendo atmowiloto dosa ahok turun tionghoa kristen teman ahok tidak jadi masalah penting pimpin jujur bersih berani transparan professional lawan ahok amunisi ampuh jatuh ahok celaka dosa jadi cikal bakal jadi fenomena ahok putar balik waktu jelas benak fenomenal nya pasang jokowi ahok muncul menang pilih kepala daerah khusus ibukota jakarta menang tarung hadir figur pimpin baru duduk ibukota peristiwa tidak sia sia kalang media halaman berita e berita banjir giat putus ucap jokowi ahok khusus ahok rasa liput berita wagub ahok jauh lebih wagub wagub dki dahulu dosa ahok liput liput media besar ahok beri sempat publik teropong awas bidik muncul sisi koin sisi luas publik tahu sikap positif ahok sisi belah lawan ahok siap tembak amunisi tambah ahok nyata keluar partai genderang perang mulai tabuh lawan ahok media cetak sosial mulai umbar amunisi nya tanpa ajar sadar angkat berita negatif ahok jadi topik trend media sosial angkat ahok muka lingkup jakarta jadi nasional lihat ahok ungkap soal anggar siluman apbd tarik perhati komentar dukung warga netizen luar jakarta galau lihat popularitas ahok julang lawan ahok masuk kalang media laku blunder angkat isu pilkada tahun isu buat teman ahok jadi gencar maju jalur independen mulai kumpul dukung ktp ahok mulai juli luar duga gera dapat tanggap besar rakyat jakarta non jakarta animo masyarakat diri posko posko sukarela tes pasar adang gadang nama cagub adhyaksa dault sandiaga uno ridwan kamil rk tantowi yahya nur mahmud ismail nachrowi ramli nara budiman sudjatmiko isu kuat posisi ahok individu tampil rk tidak punya rekam jejak jelas pimpin daerah lihat hasil survei laku smrc responden pilih ahok hasil isi bukan pilih ganda komentar komentar miring ahok tutur kata santun urus relokasi kampung pulo rs sumber waras gate isu beri kesan fenomena jokowi pilpres ulang ahok pilkada dki ahok jegal langkah jadi bola salju tahan fakta ikut menetralisir komentar komentar miring rasa nyaman bersih tidak bau soal tempat bau banget mas kata toyib warga tahun tinggal kampung pulo jum at kayak ratna sarumpaet dukung dukung foke fauzi bowo teman foke ujar ahok balai kota jakarta pusat selasa sekadar informasi prijanto lapor duga kasus korupsi kait beli tanah rs sumber waras bareskrim polri komisi berantas korupsi kpk prijanto tidak tindak lanjut harianterbit com selasa october wib partisipasi acara mata najwa tidak wakil seluruh tantang ahok hadir tampil acara mata najwa sumbang tambah popularitas elektabilitas ahok kecil kualitas tantang ahok pinjam nyata laku gol bunuh nya jokowi fenomena ahok terus gulir duga lanjut kompasiana mulai banjir artikel ahok media cetak sosial baik pro kontra independen kubu lawan ahok gerindra popularitas jamin menang pilgub ikut perlu perhati redam fenomena ahok i ajar sejarah taktik devide et impera bakal lemah kuat kubu lawan ahok seyogyanya konsolidasi kuat dukung pecah bagi individu maju lawan ahok pihak teman ahok kuat satu kerucut tuju ii ajar dunia bisnis hp vs eds vs ibm jadi hp eds vs ibm upaya lawan kurang kena upaya rangkul ampuh jadi contoh lawan ahok soal reklamasi terus terus kritik tanpa bukti ilmiah baik tawar solusi penuh lebih lebih banding ide ahok contoh laku bang nara pak ahok pak adhyaksa dault hitung hitung cermat pungkas nara detikcom selasa oct wib iii ajar ilmu tahu alam aksi reaksi besar caci cerca ahok besar dukung alir ahok lihat personel personel isi pemuda i kampanye hitam jadi bumerang bukan serang ahok serang dukung nyata pemuda i ajar teliti pemuda i tulus dukung ahok lawan ahok keluar jurus kreatif kampanye hitam kubu teman ahok jalan terjal terjal muncul isu isu reklamasi larang zikir monas dukung jakmania sibuk kumpul ktp teman ahok sibuk beri klarifikasi klarifikasi maksud nyata ide ahok asal upaya tunjuk konsistensi tulus niat mulia kubu teman ahok terima dukung ahok kubu pimpin aku ahok lawan berat walikota bandung ridwan kamil bupati banyuwangi abdullah azwar anas walikota solo fx rudy walikota surabaya tri rismaharini bupati bantaeng nurdin abdullah walikota makassar moh ramdhan pomanto ikut ikut maju lawan ahok pilkada dki hitung hitung politik putus bijaksana tidak lawan ahok putus rk popularitas elektabilitas ahok cukup tinggi jadi hilang daerah baik tetap fokus daerah tunggu ahok selesai masa bakti maksimum ikut era ahok peluang menang jadi besar tarung pilkada dki simpul fenomena ahok awal dosa ahok goreng orang media cetak sosial jadi panas gelora kata ahok pilkada jadi tes tarik bijak bijak terap kena sentuh harap bagi besar rakyat jakarta wassalam,1,32,18,14
buat ahok mundur ikut kembang politik tanah air kenal nama basuki tjahaja purnama alias ahok kenal pribadi dar kenal nama dengar nama ahok langsung asosiasi gubernur dki gubernur berani tegas jarang sebut gubernur galak soal persepsi sikap ahok silah nilai perlu debat orang dekat ahok keluarga tetangga ahok sikap ahok cenderung beda gubernur umum buat ahok suka orang lawan politik ingin ahok mundur gubernur suka sikap ahok dukung ahok suka ahok bagai upaya laku ahok lengser kursi gubernur jauh upaya upaya gagal jadi wakil gubernur duduk kursi gubernur ahok rasa bagai sindir tegur tekan mundur bagai pihak ahok tidak gentar hasil konversi jadi supplement buat garang salah baik rakyat jabat libas ingin mundur rela ingin pupus partisipasi pilkada calon gubernur jalur independent faktor jadi timbang ahok putus juang jalur independent salah satu percaya beliau kuat anak muda gabung teman ahok baik teman ahok ahok yakin kumpul jumlah ktp sesuai target yakin jadi dasar putus maju lewat jalur independent jalur independent buat ahok tuduh laku upaya deparpolisasi upaya nihil peran partai politik demokrasi deparpolisasi tenar ahok putus lewat jalur independent calon kepala daerah maju lewat jalur independent gaung tidak kuat ahok isu deparpolisasi tidak popular isu deparpolisasi angkat ahok diguga parpol parpol khawatir atas pilih tentu ahok parpol khawatir ahok menang pilkada deparpolisasi bukan dar isu belaka fakta fakta parpol pengaruh besar demokrasi akibat lanjut masyarakat tidak percaya parpol dampak niscaya jadi kader kader baik partai andal partai upaya dulang suara rakyat keluar partai kuat tokoh tiru jejak ahok hindar dampak dampak parpol tinggal diam bagai upaya laku lawan jegal ahok upaya lawan ahok salah satu upaya parpol panggil pendekar baik populer sebar bagai daerah minta datang dki lawan ahok upaya belum hasil pendekar pilih kuasa dunia silat daerah upaya kini niat jegal ahok cuat wacana revisi undang undang milu pasal kait jalur independent wacana gabung kuat partai dki menang pilkada dki anggap pihak partai upaya halau ahok ahok sulit mundur jalur independent ahok balik arah teman ahok datang parpol jadi bagi parpol ahok benar benar mundur calon gengsi dekat partai lanjur pilih independet lantas revisi undang undang pilkada gabung kuat partai buat ahok mundur ada upaya peran orang buat ahok mundur jawab orang tukang parkir sopir ahok tukang parkir sopir ahok orang orang potensial paksa ahok mundur bilang mundur ahok ahok sulit tolak cenderung meng iya ahok daya hadap perintah sang sopir pribadi ahok kata pak jalan macet parah mundur balik arah cari jalan ahok kuasa tolak silah penting cepat selamat tuju ahok sopir ahok kendara mobil parkir keluar parkir tukang parkir kuasa ahok masuk perintah ahok mundur mundur pak patah kanan terus kanan bales pak bales mundur lurus priiiit teriak tukang parkir sambung suara peluit ahok kuasa bantah turut perintah tukang parkir ahok mundur fotografer kameramen fotografer cameramen profesi jenis masuk orang orang untung perintah ahok mundur hebat politikus handal hasil mundur ahok misal sesi ambil gambar ruang sempit fotografer sulit dapat gambar utuh mampu kamera ambil gambar mentok posisi kameramen tabrak dinding posisi ahok mungkin mundur mohon maaf pak pak ahok mundur langkah gambar baik utuh oke jawab ahok serta langkah mundur cukup ahok pasti cukup pak oke pak jawab cameramen cameramen hasil buat ahok mundur jadi sia harap upaya mundur ahok baik politis jabat anggota dewan coba profesi sopir tukang parkir fotografer kameramen tidak buat ahok mundur jabat tidak perintah ahok mundur langkah perintah sulit tolak ahok sekian,1,35,13,22
takut ahok ahok si anak macan buat induk berang anak macan punya rasa takut sumber jpnn com jadi nulis ahok nih tulis berita ahok panggil basuki tjahaja purnama btp ahok gubernur unik magnet tarik logam logam ada keliling magnet kuat besar gaya tarik tarik logam logam besar jadi kecil logam besar ibu puan ikut tarik bukan tarik he he he bukti ahok deklarasi maju pilkada jalur independen merta pdip bakar jenggot bagi besar anggota pdip tidak jenggot jenggot bagai besar anggota pks jenggot orang duga anggota pks partai adil sejahtera ciri khas orang jenggot kumis disunnahkan keluar istilah jenggot pks tinggal pdip pks focus tulis ahok ahok bikin ulah ulah main main langkah politik berani takut calon pdip ahok deklarasi teman ahok maju pilkada dki jakarta oya lupa ahok jadi gubernur bukan pilih rakyat jakarta kata langsung ahok jadi nara sumber adalam acara kick andy ahok jadi gubernur ketiban durian naik jokowi gubernur jadi presiden atur otomatis wakil gubernur ganti betul wakil ahok kasus ahok megawati jadi presiden ketiban durian gus dur lengser mpr naik megawati jadi presiden betul waktu jadi wakil gusdur gusdur turun otomatis atur megawatilah jadi presiden jadi megawati ahok konteks ketiban durian jadi dua jadi presiden gubernur bukan pilih rakyat ketiban durian bukti nyata kali maju jadi capres tahun megawati ko megawati pilih rakyat indonesia jadi presiden alam alami ahok lihat hubung cerita ahok bukan takut ahok jadi bilang ahok kenal takut urat takut hilang akh nyata tidak ahok manusia punya rasa takut bahas rasa takut ahok lepas sepak terjang lihat berani pertama ahok takut pilih jadi balon gubernur dki jakarta takut utama ahok ahok punya ambisi bukan jadi gubernur dua kali jadi presiden republik indonesia catat bukan bilang kata ahok jadi nara sumber acara kick andy lihat youtube tidak ahok ngarep jadi presiden salah ahok ngarep jadi presiden sby susilo bambang yudoyono indonesia jfk john f kennedy amerika serikat ahok ikut singkat nama basuki tjahaja purnama jadi btp tiga hurup ahok tertawa lebar ngarep kata acara jadi ahok politikus duduk kuasa setinggi tinggi salah lupa polikus partai besar singkat nama jadi tiga hurup arb panjang arb malas nulisnya anggap tahu dua ahok takut jadi gubernur dki takut ahok ahok jadi gubernur dki maju capres cawapres pilpres pupus loh alas telak jadi capres cawapres jadi gubenur dki pilih pilih pilakada bukti nyata ahok jadi gubernur bukan pilih rakyat ketiban durian jelas atas takut nomor ahok hadap mata ahok deklarasi teman ahok jadi balon gubernur independen tidak jalur partai mana jelas takut ahok takut calon pdip gerindra jauh ahok tuai hasil sombong ahok cari musuh bukan cari teman utama teman teman partai jadi istilah depolarisasi politik bukan tuju ahok ahok takut hantu siang bolong takut calon jadi balon gubernur dki jakarta pdip ahok takut bu risma maju pdip bukan tidak partai partai lain punya calon pbb yusril i mehendra demokrat roy suryo pkb dhani pks hidayat nur wahid gerendra uno golkar tantowi pan partai adyaksa daud tiga ahok takut partai calon jadi balon gubernur takut tiga sebab ahok deklarasi teman ahok ahok percaya alias takut calon partai partai nyata benar partai besar punya calon tinggal nasdem mungkin dukung ahok hanura belum dengar suara jadi hitung hitung politik ahok benar maju jalur independen jalur ahok atas kertas maju jadi balon gubernur balon gubernur tahana nyata ahok takut benar benar takut takut calon jadi balon gubenrnur dua kali ahok takut luar ahok stress benar partai calon jadi bilang ahok haus kuasa ahok haus kuasa kerja kerja kerja peduli calon tidak pilkada datang nyata tidak ahok takut calon jadi balon gubernur jadi gubernur tiga ahok takut nasib gubenur ini alas gubernur fauzi bowo jabat gubernur dki jakarta pilkada fauzi bowo gubernur tahana dukung kuat kalah betul waktu lawan berat jokowi naik daun jadi media darling fauzi bowo gigit jari jokowi baik hati fauzi bowo dubes jerman lumayan jadi kalah fauzi bowo punya jabat duta besar deplu cita cita diplomat karier ajar alam gubernur sebab ahok gerak cepat hilang langkah lambat ahok ko ahok takut jadi musuh partai partai mati mati menghadang ahok partai gerindra partai benar benar jadi ahok musuh laten utama pilkada ahok jadi anak macan makan sang induk empat ahok takut jadi musuh takut logis ahok tahu betul laku luka partai baik partai partai besar pdip gerindra ahok merta keluar gerindra wacana gubernur pilih dprd ahok langsung tohok gerindra keluar partai calon jadi balon wakil gubernur pilkada luar berani akan tampar partai gerindra tampar bukan sembarang mantan jendral akh masa tahu benar janga takut ahok ujud jadi musuh akata muncul istilah aba asal bukan ahok takut ahok pihak lawan satu ahok ko pihak lawan pecah belah ahok senyam senyum menang mata lima ahok takut pulang kampung loh hubung pilkada dki jelas takut ahok baca ahok kalah pilkada ahok malu kali kalah bangka belitung pilih gubernur eh kalah pilkada jakarta ahok jadi gubernur bukan pilih rakyat ketiban durian ahok takut nasib megawati kali ko pilpres ahok kalah mau kampungny balitung rasa tidak jadi panjang nih akh serius cukup lima takut ahok tambah misal ahok takut istri takut kasus rumah sakit sumber waras tetap usut kpk nyata takut takut ahok jadi bilang ahok kenal takut urat takut putus akh nyata mitos belaka bumbung orang jadi superman nyata cemen percaya bukti ahok superman permen cemen,0,28,29,-1
ahok skak adhyaksa dault baca strategi gerindra jungkal ahok bukan dukung ahok bukan benci ahok ahok cukup prestasi dki jakarta ahok nambah periode berat suka ahok cuman mulut kasar temperamental rasa benar eh kurang bukan yaa hehehee masalah ahok tuju tuju aja ahok pimpin dki masalah dukung ahok media media social kompasiana kompasiana mah tau persis kompasianer kompasianer dukung ahok kritisi baca detiknews kompas com garuk garuk kepala aja lihat komentar komentar dukung ahok norak sombong belagu songong mirip banget dukung pks zaman anis matta dukung ahok kompasiana singgung yak ngomongin ngomongin dukung ahok eks komentar media media online nasional hehehe adhiyaksa dault benar ahok tidak paham baca hasil survey tau cerita kurang waktu lembaga survey csis rilis hasil survey elektabilitas calon gubernur dki nama nama ahok ridwan kamil tri rismaharini adhiyaksa daud hasil surveynya ikut ahok raih angka elektabilitas ridwan kamil tri rismaharini adhiyaksa dauult hasil survey tidak salah adhyaksa beri komentar elektabilitas ahok tidak takut berani tarung ahok adhyaksa belum punya kendara politik adhyaksa belum resmi calon ahok dengar nyata adhyaksa keluar statement rendah adhiyaksa kurang adhyaksa dault persen empat persen persen tahu guna cara kasihan arti persen orang jakarta suka kasihan kata ahok balai kota jl medan merdeka selatan jakarta senin menteri olah raga jadi erti sistem statistik sistem survei erti kata ahok lanjut statement ahok buat adhyaksa gusar adhyaksa kata ahok jumawa adhyaksa sebut ahok rendah bidang olah raga tangan adhyaksa kata ahok tidak paham baca hasil survey elektabilitas nyata adyaksa ahok buat adhyaksa serbu dibully ratus dukung ahok detiknews bikin garuk garuk kepala rasa heran dukung ahok kata adhyaksa dault benar baca survey elektabilitas angka ahok arti ahok tidak kuat elektabilitasnya pilgub dki datang ahok incumbent hamper tahun pimpin dki mayoritas duduk dki puas pimpin ahok hasil survey elektabilitas ahok ada angka angka asumsi atas bulat warga jakarta hendak ahok pimpin jakarta contoh elektabilitas tri rismaharini pilwako surabaya kemarin elektabilitas tri rismaharini capai kondisi tidak berani coba lawan bu risma jelas warga surabaya pilih risma jadi lawan menang tulis udah bahas sebut jelas elektabilitas ahok bawah peluang ahok menang pilgub dki belum pada saran ahok gabung minta dukung partai dengan pdip elektabilitas incumbent bawah bahaya besar mungkin kalah nyata saing cukup kuat elektabilitasnya jauh bawah ahok ucap ahok rendah adhyaksa sebut angka elektabilitas adhyaksa dault persen persen cukup rendah kata alam ad bidang olahraga tidak paham statistic blunder besar buat ahok sisi jadi buka lemah ahok ahok tidak paham baca elektabilitas hasil survey gerindra laku strategi baik tulis udah jelas basis massa partai dki jakarta besar pdip gerindra pks partai partai jauh bawah tiga udah jelas gerindra punya dendam bara ahok niat jungkal ahok cara atas kertas gerindra pks gabung kuat minta ppp ikut dukung basis massa partai atas tinggal tentu calon kuat lawan ahok gerindra santai lawan ahok gerindra main main asa ahok haji lulung suruh ganggu ahok statement statemenya ejek ahok sandiaga uno tengah dukung gerindra lihat reaksi ahok belum calon calon independen adhyaksa dault bukan disupport gerindra nama nama sandiaga uno adhyaksa dault ragu ridwan kamil datang jakarta ahok sulit tentu strategi ahok bingung jadi lawan kuat ahok sombong tidak minta dukung parpol parpol ahok hilang start awal lancar strategi jelang musim kampanye pilgub dki kalah start arti kalah awal ahok baca gerindra laku maneuver bulan batas daftar kpu jakarta siap ahok strategi mudah goda lulung sandiaga uno adhyaksa dault jumawa teman ahok dukung yakin bulan bahas strategi gerindra mantau mantau masbro heheheee udah ah jalan jalan cari angpao sumber tulis musuh peluang ahok menang pilgub dki kecil catat pliss admin artikel artikel hl highligt tq,0,23,29,-6
