nama_media,jenis_media,penanggung_jawab,pemimpin_redaksi,badan_hukum,provinsi,alamat,telp,email,website,status,tanggal
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Jabungtoday.com,Siber,Hendry Nursal,Hendry Nursal,Media Putra Jabung,Jambi,"Jl.Ternate, Lrg.Puspon, RT 03 No 49 Simpang Surya, Kel. Kebun Handil, Kec. Jelutung",081313024411,jabungtoday@gmail.com,https://jabungtoday.com/,Terverifikasi Administratif dan Faktual,2026-04-23
Akurat.co,Siber,Aldi Gultom,Aldi Gultom,Akurat Sentra Media,DKI Jakarta,Jl. Tentara Pelajar Rukan Permata Senayan Blok A 15,02157941110,akuratco@gmail.com,https://akurat.co/,Terverifikasi Administratif dan Faktual,2026-04-23
bentengsumbar.com,Siber,Zamri Yahya,Zamri Yahya,Benteng Sumbar Persada,Sumatera Barat,Jalan Piai Tangah RT.001/RW.001 Kelurahan Piai Tangah Kecamatan Pauh Kota Padang Sumatera Barat Kode Pos 25162 Indonesia.,0751779490,bentengsumbar@gmail.com,https://www.bentengsumbar.com/,Terverifikasi Administratif dan Faktual,2026-04-23
Tribun Pekanbaru,Cetak,Erwin Ardian,Erwin Ardian,Riau Media Grafika,Riau,"Jl. H Imam Munandar No.383 RT01 RW04 Tangkerang Labuai, Kec.Bukit Raya. Pekanbaru",076136345,hrtribunpekanbaru@gmail.com,www.tribunpekanbaru.com,Terverifikasi Administratif dan Faktual,2026-04-23
niaga.asia,Siber,Intoniswan,Intoniswan,Kaltim prima multi media,Kalimantan Timur,"Jl Siradj Salman Komplek Ruko Grand Mahakam Blok B-02, RT 29 Kelurahan Teluk Lerong Ilir, Kecamatan Samarinda Ulu",05412082956,niagaredaksi@gmail.com,https://www.niaga.asia/,Terverifikasi Administratif dan Faktual,2026-04-23
mediaindonesia.com,Siber,Abdul Kohar,Abdul Kohar,Citra Medianusa Purnama,DKI Jakarta,"Jl. Pilar Mas Raya Kav A-D Kedoya Selatan, Kebon Jeruk Jakarta Barat, DKI Jakarta 11520, Indonesia",0215821303,redaksi.micom@mediaindonesia.com,www.mediaindonesia.com,Terverifikasi Administratif dan Faktual,2026-04-23
tribun-medan.com,Siber,T. Agus Khaidir,T. Agus Khaidir,Harian Tribun Medan,Sumatera Utara,"Jalan Kiai Haji Wahid Hasyim Nomor 37, Babura, Medan Baru, Kota Medan, Sumatera Utara 20154",0614574222,medan.tribunnews@gmail.com,https://medan.tribunnews.com/,Terverifikasi Administratif dan Faktual,2026-04-23
Garuda TV,Televisi,Elly Husin,Elly Husin,Bama Berita Sarana Televisi,DKI Jakarta,"Gedung Ratu Prabu 1, Jalan Letnan Jenderal TB. Simatupang Kavling 20,Desa/Kelurahan	Cilandak	Timur,	Kec.	Pasar Minggu,	Kota	Adm.	Jakarta	Selatan,	Provinsi	DKI	Jakarta",02178342446,legal.office@garuda.tv,https://garuda.tv/,Terverifikasi Administratif dan Faktual,2026-04-23
Pos Belitung,Cetak,Teddy Malaka,Teddy Malaka,Bangka Media Grafika,Kepulauan Bangka Belitung,Jl. Gaparman No.7  RT/RW 14 Kelurahan Lesung Batang Tanjungpandan,071921033,posbelitung.redaksi@gmail.com,posbelitung.co,Terverifikasi Administratif,2026-04-23
lintaspena.com,Siber,Toroziduhu Laia,Toroziduhu Laia,Pena Yoga Pers,Riau,"Jl. Pari I No. 358 RT 02 RW 12, Kelurahan Limbungan Baru, Kecamatan Rumbai, Kota Pekanbaru, Prpvinsi Riau",081263111154,lintaspena21@gmail.com,www.lintaspena.com,Terverifikasi Administratif,2026-04-23
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
